District,Date,Month,Year,Visitors
Mahabubabad ,12-01-2017,December,2017,0
Mahbubnagar,01-01-2017,January,2017,42
Mahbubnagar,02-01-2017,February,2017,39
Mahbubnagar,03-01-2017,March,2017,38
Mahbubnagar,04-01-2017,April,2017,39
Mahbubnagar,05-01-2017,May,2017,41
Mahbubnagar,06-01-2017,June,2017,43
Mahbubnagar,07-01-2017,July,2017,42
Mahbubnagar,08-01-2017,August,2017,44
Mahbubnagar,09-01-2017,September,2017,54
Mahbubnagar,10-01-2017,October,2017,47
Mahbubnagar,11-01-2017,November,2017,49
Mahbubnagar,12-01-2017,December,2017,42
Mancherial,01-01-2017,January,2017,0
Mancherial,02-01-2017,February,2017,0
Mancherial,03-01-2017,March,2017,0
Mancherial,04-01-2017,April,2017,0
Mancherial,05-01-2017,May,2017,0
Mancherial,06-01-2017,June,2017,NULL
Mancherial,07-01-2017,July,2017,0
Mancherial,08-01-2017,August,2017,0
Mancherial,09-01-2017,September,2017,0
Mancherial,10-01-2017,October,2017,0
Mancherial,11-01-2017,November,2017,0
Mancherial,12-01-2017,December,2017,0
Medak ,01-01-2017,January,2017,0
Medak ,02-01-2017,February,2017,0
Medak ,03-01-2017,March,2017,0
Medak ,04-01-2017,April,2017,0
Medak ,05-01-2017,May,2017,0
Medak ,06-01-2017,June,2017,0
Medak ,07-01-2017,July,2017,0
Medak ,08-01-2017,August,2017,0
Medak ,09-01-2017,September,2017,0
Medak ,10-01-2017,October,2017,0
Medak ,11-01-2017,November,2017,0
Medak ,12-01-2017,December,2017,0
Medchal ,01-01-2017,January,2017,NULL
Medchal ,02-01-2017,February,2017,NULL
Medchal ,03-01-2017,March,2017,NULL
Medchal ,04-01-2017,April,2017,NULL
Medchal ,05-01-2017,May,2017,NULL
Medchal ,06-01-2017,June,2017,NULL
Medchal ,07-01-2017,July,2017,NULL
Medchal ,08-01-2017,August,2017,NULL
Medchal ,09-01-2017,September,2017,NULL
Medchal ,10-01-2017,October,2017,NULL
Medchal ,11-01-2017,November,2017,NULL
Medchal ,12-01-2017,December,2017,NULL
Nagarkurnool ,01-01-2017,January,2017,19
Nagarkurnool ,02-01-2017,February,2017,25
Nagarkurnool ,03-01-2017,March,2017,24
Nagarkurnool ,04-01-2017,April,2017,29
Nagarkurnool ,05-01-2017,May,2017,31
Nagarkurnool ,06-01-2017,June,2017,35
Nagarkurnool ,07-01-2017,July,2017,25
Nagarkurnool ,08-01-2017,August,2017,23
Nagarkurnool ,09-01-2017,September,2017,32
Nagarkurnool ,10-01-2017,October,2017,18
Nagarkurnool ,11-01-2017,November,2017,21
Nagarkurnool ,12-01-2017,December,2017,29
Nalgonda,01-01-2017,January,2017,0
Nalgonda,02-01-2017,February,2017,0
Nalgonda,03-01-2017,March,2017,0
Nalgonda,04-01-2017,April,2017,0
Nalgonda,05-01-2017,May,2017,0
Nalgonda,06-01-2017,June,2017,0
Nalgonda,07-01-2017,July,2017,0
Nalgonda,08-01-2017,August,2017,0
Nalgonda,09-01-2017,September,2017,0
Nalgonda,10-01-2017,October,2017,0
